tweet_id,type,created_at,handle,name,text,URL,retweets,favorites
1358781773287686144,Reply,2021-02-08 14:16:34,ECDC_EU,ECDC,What are the COVID-19 mutations/variants everyone has been hearing of? How do they differ? What are the 'variants o… https://t.co/DT6ob75SeG,https://twitter.com/ECDC_EU/status/1358781773287686144,11,16
1358781767755382785,Reply,2021-02-08 14:16:33,ECDC_EU,ECDC,We are monitoring the evolution of the virus closely and focus on the mutations that may be of a higher risk to the… https://t.co/8prQji8vAF,https://twitter.com/ECDC_EU/status/1358781767755382785,2,9
1358781765503041536,Reply,2021-02-08 14:16:32,ECDC_EU,ECDC,"While most of the mutations will not have a significant impact on the danger the virus poses to us, some may give i… https://t.co/qtihRnsbGh",https://twitter.com/ECDC_EU/status/1358781765503041536,9,6
1358781763082944514,New,2021-02-08 14:16:31,ECDC_EU,ECDC,"Viruses constantly change through mutation (they evolve and adapt). This applies also to the #SARSCoV2 virus, causi… https://t.co/jaSwrFe1FH",https://twitter.com/ECDC_EU/status/1358781763082944514,28,41
1358753830708641792,New,2021-02-08 12:25:32,ECDC_EU,ECDC,RT @sandracavallo: Do you work in healthcare and want to make sure you have the latest info about COVID19 vaccination? Do you have question…,https://twitter.com/ECDC_EU/status/1358753830708641792,8,0
1358753808004878338,New,2021-02-08 12:25:26,ECDC_EU,ECDC,"RT @EU_Health: Webinar: 10 February, 11-13 CET
#COVID19 vaccination: what you need to know as a health professional

Join our #EUHPP webina…",https://twitter.com/ECDC_EU/status/1358753808004878338,31,0
1357758201626841090,New,2021-02-05 18:29:15,ECDC_EU,ECDC,"RT @SKyriakidesEU: Important meeting with the 
🇪🇺 Scientific Advice Platform on #COVID19. 

The delicate epidemiological situation makes it…",https://twitter.com/ECDC_EU/status/1357758201626841090,27,0
1357758137701400578,New,2021-02-05 18:29:00,ECDC_EU,ECDC,RT @EMA_News: ‼️ The safety update on the #COVID19vaccine Moderna is now available. No changes are recommended in the use of this vaccine.…,https://twitter.com/ECDC_EU/status/1357758137701400578,78,0
1357616061273829377,New,2021-02-05 09:04:26,ECDC_EU,ECDC,"RT @Eurosurveillanc: Preliminary report of an #outbreak of #SARSCoV2 in #mink and #MinkFarmers associated with #CommunitySpread, #Denmark,…",https://twitter.com/ECDC_EU/status/1357616061273829377,17,0
1357417955567501314,New,2021-02-04 19:57:14,ECDC_EU,ECDC,RT @EMA_News: EMA’s human medicines committee (#CHMP) is reviewing available data to support national decision making on the possible use o…,https://twitter.com/ECDC_EU/status/1357417955567501314,38,0
1357410970910474241,New,2021-02-04 19:29:29,ECDC_EU,ECDC,"Latest #COVID19 update (week 04/2021)

Global:
▪ 103 446 897 cases
▪ 2 236 386 deaths

EU/EEA:
▪ 19 727 693 cases
▪… https://t.co/FdXLPHCWN5",https://twitter.com/ECDC_EU/status/1357410970910474241,10,12
1357394467234467840,New,2021-02-04 18:23:54,ECDC_EU,ECDC,"RT @alexniculae: Based on the evolving epidemiological situation, starting today @ECDC_EU will upgrade its weekly maps to a version with 4…",https://twitter.com/ECDC_EU/status/1357394467234467840,5,0
1357294366277132288,Reply,2021-02-04 11:46:08,ECDC_EU,ECDC,"You can find the ammendment to the @EUCouncil recommendation here: https://t.co/Q8NmFQ5vyp

The thresholds for the… https://t.co/GKgnqw5Ozd",https://twitter.com/ECDC_EU/status/1357294366277132288,5,15
1357294362309386240,Reply,2021-02-04 11:46:07,ECDC_EU,ECDC,"Colour-blind friendly version of the map
https://t.co/CcBVx6B0o5 https://t.co/aINicbGxw7",https://twitter.com/ECDC_EU/status/1357294362309386240,11,37
1357294357582331906,New,2021-02-04 11:46:06,ECDC_EU,ECDC,"#JustPublished
Updated 🚦 maps are online!

These maps aim to support the @EUCouncil recommendation on a coordinated… https://t.co/ulgG2ORaUH",https://twitter.com/ECDC_EU/status/1357294357582331906,98,135
1357013132745592833,New,2021-02-03 17:08:37,ECDC_EU,ECDC,RT @EMA_News: ‼️ EMA starts a rolling review of Novavax #COVID19vaccine: 👉 https://t.co/qhuj1X7nuq,https://twitter.com/ECDC_EU/status/1357013132745592833,223,0
1356993887215230979,New,2021-02-03 15:52:09,ECDC_EU,ECDC,"#JustPublished:
REPORT on a #StressTest on logistical aspects of #COVID19 vaccination deployment plans.

12 EU/EEA… https://t.co/gVG2V18SJm",https://twitter.com/ECDC_EU/status/1356993887215230979,13,13
1356955781594284037,New,2021-02-03 13:20:44,ECDC_EU,ECDC,"Visit our #EVA platform &amp; take one of the translated courses:

➡️ for front-line managers on #COVID19 response to v… https://t.co/lK9Xn2Q33l",https://twitter.com/ECDC_EU/status/1356955781594284037,11,10
1356537428283187200,New,2021-02-02 09:38:20,ECDC_EU,ECDC,RT @SKyriakidesEU: The @AstraZeneca #COVID19 vaccine has been authorised by @EU_Commission. We will continue our efforts around the clock t…,https://twitter.com/ECDC_EU/status/1356537428283187200,115,0
1356532308782813184,New,2021-02-02 09:18:00,ECDC_EU,ECDC,"We are hiring!

#ECDC is looking for a:
➡️Principal Expert microbial safety of substances of human origin.

𝗘𝘅𝘁𝗲𝗻𝗱𝗲… https://t.co/BPkjyVozlW",https://twitter.com/ECDC_EU/status/1356532308782813184,17,14
1356316530238222338,New,2021-02-01 19:00:34,ECDC_EU,ECDC,"RT @EUCouncilPress: .@EUCouncil updates recommendation on measures affecting #freemovement 

➡️ a dark red category is added to the weekly…",https://twitter.com/ECDC_EU/status/1356316530238222338,43,0
1356310233476444161,Reply,2021-02-01 18:35:33,ECDC_EU,ECDC,See the overview of the implementation of #COVID19 vaccination strategies and vaccine deployment plans in the EU/EE… https://t.co/I8dGfyGZi1,https://twitter.com/ECDC_EU/status/1356310233476444161,4,9
1356309683741589505,New,2021-02-01 18:33:22,ECDC_EU,ECDC,"#JustPublished:
Overview of the implementation of #COVID19 vaccination strategies and vaccine deployment plans in t… https://t.co/bbJx7wlPZo",https://twitter.com/ECDC_EU/status/1356309683741589505,21,20
1356306683346251776,Reply,2021-02-01 18:21:26,ECDC_EU,ECDC,"@AndersAarkrogJ @sissel_kvist We are aware some of the countries have national tracking websites running, however M… https://t.co/IwluleCQv5",https://twitter.com/ECDC_EU/status/1356306683346251776,0,0
1356305553979559941,Reply,2021-02-01 18:16:57,ECDC_EU,ECDC,"@PriscillaLynch There was an issue with the data reported from #IE. We have been in touch with the authorities, and… https://t.co/gAbcJ0fTVJ",https://twitter.com/ECDC_EU/status/1356305553979559941,0,1
1356304319298023428,New,2021-02-01 18:12:03,ECDC_EU,ECDC,RT @FergalBowers: The European Centre for Disease Control (ECDC) has told @rtenews that there was an issue with the vaccination data report…,https://twitter.com/ECDC_EU/status/1356304319298023428,25,0
1356304004339421185,Reply,2021-02-01 18:10:48,ECDC_EU,ECDC,"@newschambers There was an issue with the data reported from #IE. We have been in touch with them, and are in the p… https://t.co/XpFPaShAKm",https://twitter.com/ECDC_EU/status/1356304004339421185,0,3
1356303714752090112,Reply,2021-02-01 18:09:39,ECDC_EU,ECDC,"@MRJKilcoyne There was an issue with the data reported from #IE. We have been in touch with the authorities, and ar… https://t.co/6xcna6cSgZ",https://twitter.com/ECDC_EU/status/1356303714752090112,0,1
1356303226958721024,Reply,2021-02-01 18:07:42,ECDC_EU,ECDC,@ARegenauer @EU_Health @EU_Commission @EUCouncil @EMA_News @WHO_Europe @SKyriakidesEU @EUCouncilPress @EU_ECHA… https://t.co/4R7S7V3MjO,https://twitter.com/ECDC_EU/status/1356303226958721024,0,5
